,Punto,Cluster,Latitud,Longitud
1,2.1426E+16,4,6.18569874,-75.58082856
13,2.1426E+16,4,6.18569874,-75.58082856
34,2.1426E+16,1,6.18569874,-75.58082856
244,2.1427E+16,4,6.18501779,-75.58220315
252,2.1428E+16,1,6.18609717,-75.58218473
258,2.2115E+16,1,6.17482371,-75.561108
267,2.2115E+16,4,6.17482371,-75.561108
312,2.2213E+16,1,6.17510371,-75.56452004
372,2.2213E+16,4,6.17510371,-75.56452004
492,2.2213E+16,1,6.17518862,-75.56435884
500,2.2213E+16,4,6.17518862,-75.56435884
654,2.2213E+16,4,6.17528854,-75.56486796
662,2.2213E+16,1,6.17528854,-75.56486796
670,2.2213E+16,1,6.17528854,-75.56486796
678,2.2213E+16,1,6.17528854,-75.56486796
694,2.2213E+16,1,6.17528854,-75.56486796
710,2.2213E+16,4,6.17560488,-75.56547693
722,2.2213E+16,1,6.17560488,-75.56547693
734,2.2213E+16,1,6.17560488,-75.56547693
774,2.2213E+16,4,6.17560488,-75.56547693
994,2.2213E+16,1,6.17560488,-75.56547693
1042,2.2213E+16,4,6.17690741,-75.56803893
1057,2.2213E+16,4,6.17694043,-75.56809622
4132,2.2213E+16,4,6.17779884,-75.56935896
4133,2.2213E+16,4,6.17852157,-75.57112034
4148,2.2213E+16,1,6.17779884,-75.56935896
4149,2.2213E+16,1,6.17852157,-75.57112034
4196,2.2213E+16,4,6.17779884,-75.56935896
4220,2.2213E+16,1,6.17779884,-75.56935896
4244,2.2213E+16,1,6.17821326,-75.56989899
4247,2.2213E+16,4,6.17821326,-75.56989899
4250,2.2213E+16,3,6.17821326,-75.56989899
4253,2.2213E+16,1,6.17830944,-75.57066962
4295,2.2213E+16,4,6.17830944,-75.57066962
4421,2.2213E+16,3,6.17830944,-75.57066962
4547,2.2213E+16,1,6.17837065,-75.57122006
4586,2.2213E+16,1,6.17837065,-75.57122006
4598,2.2213E+16,4,6.17837065,-75.57122006
4622,2.2213E+16,1,6.17837065,-75.57122006
4634,2.2213E+16,3,6.17837065,-75.57122006
4646,2.2213E+16,2,6.17837065,-75.57122006
4670,2.2213E+16,1,6.17837065,-75.57122006
4678,2.2213E+16,4,6.178368,-75.5708
4686,2.2213E+16,1,6.17843579,-75.57094969
4710,2.2213E+16,4,6.17843579,-75.57094969
5454,2.2213E+16,4,6.17843579,-75.57094969
5463,2.2213E+16,4,6.17843579,-75.57094969
5475,2.2213E+16,1,6.17843579,-75.57094969
5487,2.2213E+16,4,6.17843579,-75.57094969
5535,2.2213E+16,1,6.17843579,-75.57094969
5787,2.2213E+16,4,6.17843579,-75.57094969
5811,2.2213E+16,1,6.17843579,-75.57094969
5871,2.2213E+16,1,6.17843579,-75.57094969
5891,2.2213E+16,4,6.17843579,-75.57094969
6251,2.2213E+16,1,6.17843579,-75.57094969
6275,2.2213E+16,4,6.17843579,-75.57094969
6323,2.2213E+16,1,6.17843579,-75.57094969
6443,2.2213E+16,4,6.17843579,-75.57094969
6523,2.2213E+16,1,6.17843579,-75.57094969
6531,2.2215E+16,4,6.1731755,-75.56233383
6533,2.2215E+16,4,6.17482371,-75.561108
6536,2.2215E+16,1,6.1731755,-75.56233383
6538,2.2215E+16,1,6.17482371,-75.561108
6541,2.2215E+16,3,6.1731755,-75.56233383
6543,2.2215E+16,3,6.17482371,-75.561108
6546,2.2215E+16,1,6.173175,-75.562331
6547,2.2215E+16,1,6.17482371,-75.561108
6586,2.2215E+16,3,6.173175,-75.562331
6587,2.2215E+16,3,6.17482371,-75.561108
7306,2.2215E+16,1,6.17307843,-75.56345272
7486,2.2215E+16,4,6.17307843,-75.56345272
7746,2.2215E+16,1,6.17307843,-75.56345272
7806,2.2215E+16,4,6.17307843,-75.56345272
8486,2.2216E+16,1,6.17050616,-75.56346914
8594,2.2216E+16,1,6.17065356,-75.56390834
8646,2.2216E+16,4,6.17065356,-75.56390834
8958,2.2216E+16,1,6.17065356,-75.56390834
9000,2.2216E+16,4,6.17065356,-75.56390834
9798,2.2216E+16,1,6.17065356,-75.56390834
9858,2.2216E+16,4,6.17065356,-75.56390834
10378,2.2216E+16,4,6.17083683,-75.56417456
10438,2.2216E+16,1,6.17083683,-75.56417456
10538,2.2216E+16,1,6.17083683,-75.56417456
10598,2.2216E+16,4,6.17083683,-75.56417456
